instrument,companyName,cik,form,filedDate,accessionNumber,reportDate,primaryDocument,primaryDocDescription,primaryDocumentUrl,detail_url
MAG7,"Meta Platforms, Inc.",1326801,144,2025-09-23T00:00:00Z,0001921094-25-001194,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1326801/000192109425001194/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1326801/000192109425001194/0001921094-25-001194-index.htm
MAG7,NVIDIA CORP,1045810,4,2025-09-23T00:00:00Z,0001636665-25-000006,2025-09-19,xslF345X05/wk-form4_1758662649.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1045810/000163666525000006/xslF345X05/wk-form4_1758662649.xml,https://www.sec.gov/Archives/edgar/data/1045810/000163666525000006/0001636665-25-000006-index.htm
MAG7,NVIDIA CORP,1045810,4,2025-09-23T00:00:00Z,0001199039-25-000010,2025-09-19,xslF345X05/wk-form4_1758662353.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1045810/000119903925000010/xslF345X05/wk-form4_1758662353.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119903925000010/0001199039-25-000010-index.htm
MAG7,NVIDIA CORP,1045810,144,2025-09-23T00:00:00Z,0001921094-25-001195,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001195/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001195/0001921094-25-001195-index.htm
MAG7,"Tesla, Inc.",1318605,DEFA14A,2025-09-23T00:00:00Z,0001104659-25-092572,,tm252289d21_defa14a.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/1318605/000110465925092572/tm252289d21_defa14a.htm,https://www.sec.gov/Archives/edgar/data/1318605/000110465925092572/0001104659-25-092572-index.htm
MAG7,"Meta Platforms, Inc.",1326801,144,2025-09-22T00:00:00Z,0001921094-25-001187,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1326801/000192109425001187/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1326801/000192109425001187/0001921094-25-001187-index.htm
MAG7,NVIDIA CORP,1045810,4,2025-09-22T00:00:00Z,0001197650-25-000007,2025-09-18,xslF345X05/wk-form4_1758588406.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1045810/000119765025000007/xslF345X05/wk-form4_1758588406.xml,https://www.sec.gov/Archives/edgar/data/1045810/000119765025000007/0001197650-25-000007-index.htm
MAG7,NVIDIA CORP,1045810,144,2025-09-22T00:00:00Z,0001921094-25-001192,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001192/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001192/0001921094-25-001192-index.htm
MAG7,"Tesla, Inc.",1318605,DEFA14A,2025-09-22T00:00:00Z,0001104659-25-092175,,tm252289d20_defa14a.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/1318605/000110465925092175/tm252289d20_defa14a.htm,https://www.sec.gov/Archives/edgar/data/1318605/000110465925092175/0001104659-25-092175-index.htm
MAG7,"Tesla, Inc.",1318605,PX14A6G,2025-09-22T00:00:00Z,0001096906-25-001550,,ncppr_px14a6g.htm,NATIONAL CENTER FOR PUBLIC POLICY RESEARCH - PX14A6G,https://www.sec.gov/Archives/edgar/data/1318605/000109690625001550/ncppr_px14a6g.htm,https://www.sec.gov/Archives/edgar/data/1318605/000109690625001550/0001096906-25-001550-index.htm
